chamar-se | to be called (reflexive)
Chamo-me... | My name is...
Como te chamas? | What is your name? (informal)
Como se chama? | What is your name? (formal)
Sou de... | I am from...
Moro em... | I live in...
Estudo... | I study...
Trabalho em... | I work at...
Falo... | I speak...
Aprendo português | I am learning Portuguese
É um prazer | It's a pleasure
Muito prazer | Nice to meet you
Igualmente | Likewise / Same here
Sou casado/a | I am married
Sou solteiro/a | I am single
Tenho um irmão / uma irmã | I have a brother / a sister
Não tenho irmãos | I have no siblings
