e | and
mas | but
ou | or
também | also / too
porque | because
então | so / then / therefore
quando | when
que | that / which / who
se | if
por isso | therefore / that's why
no entanto | however
já que | since / given that
Ela é simpática, mas ele é antipático | She is nice but he is unfriendly
Não, não falo | No, I don't speak it
Sim, falo um pouco | Yes, I speak a little
Não sei | I don't know
Claro | Of course
Talvez / Se calhar | Maybe / Perhaps
Ótimo! | Great!
Está bem | Okay / Alright
Que pena! | What a pity!
