a cabeça | the head
a testa | the forehead
o cabelo | the hair
os olhos | the eyes
as orelhas | the ears
o nariz | the nose
a boca | the mouth
as bochechas | the cheeks
o pescoço | the neck
os ombros | the shoulders
o braço / os braços | the arm / the arms
a mão / as mãos | the hand / the hands
o cotovelo | the elbow
o pulso | the wrist
os dedos | the fingers
o peito | the chest
as costas | the back
a barriga | the belly
a cintura | the waist
o joelho | the knee
a perna / as pernas | the leg / the legs
o tornozelo | the ankle
o pé / os pés | the foot / the feet
liso | straight (hair)
encaracolado | curly (hair)
ondulado | wavy (hair)
preto | black (hair)
castanho | brown / chestnut
loiro | blonde
careca | bald
O cabelo dele é preto e curto | His hair is black and short
Os olhos dela são azuis | Her eyes are blue
