meu / minha | my (masc / fem)
meus / minhas | my (masc pl / fem pl)
teu / tua | your - informal (masc / fem)
teus / tuas | your - informal (masc pl / fem pl)
seu / sua | his / her / your formal (masc / fem)
seus / suas | his / her / your formal (masc pl / fem pl)
nosso / nossa | our (masc / fem)
nossos / nossas | our (masc pl / fem pl)
vosso / vossa | your - group (masc / fem)
dele | his (of him)
dela | her (of her)
deles | their - mixed or masc group
delas | their - feminine group
O meu nariz | My nose
A minha testa | My forehead
Os meus olhos | My eyes
A tua boca | Your mouth (informal)
O seu joelho | His / her / your knee
A cabeça dele | His head
As bochechas dela | Her cheeks
A nossa escola | Our school
