Quero... | I want...
Queria... | I would like... (polite)
Uma mesa para dois, por favor | A table for two, please
A ementa, por favor | The menu, please
O que recomenda? | What do you recommend?
Para mim... | For me...
A conta, por favor | The bill, please
o pequeno-almoço | breakfast
o almoço | lunch
o jantar | dinner
o lanche | snack / afternoon tea
a água | water
o sumo | juice
o vinho | wine
a cerveja | beer
o café | coffee
o chá | tea
o leite | milk
o pão | bread
o peixe | fish
a carne | meat
a salada | salad
a sopa | soup
a sobremesa | dessert
o bolo | cake
Tem opção vegetariana? | Do you have a vegetarian option?
Sou alérgico/a a... | I am allergic to...
