Isso não é verdade | That is not true
Estás enganado/a | You are wrong
Não fui eu | It wasn't me
Isso não é justo | That is not fair
Porque é que dizes isso? | Why do you say that?
Não tens razão | You are not right
Para de me chatear | Stop annoying me
Não me fales assim | Don't talk to me like that
Respeita-me | Respect me
Não aceito isso | I don't accept that
Podes provar? | Can you prove it?
Estás a mentir | You are lying
Não me interessa | I don't care
Tanto me faz | I couldn't care less / Whatever
Que se passa contigo? | What is wrong with you?
Não te metas comigo | Don't mess with me
Eu não disse isso | I didn't say that
Estás a exagerar | You are exaggerating
Deixa-me falar | Let me speak
Estou farto/a disto | I am fed up with this
Não gosto da tua atitude | I don't like your attitude
Podes repetir isso? | Can you repeat that? (confrontational)
Quem te perguntou? | Who asked you?
Não me conheces | You don't know me
Vai falar com outro | Go talk to someone else
